Position,Name,Date,Max km/h,Max G,Best Time,Profile URL
1,Rai Ibtisam Ahmed,09.01.2026,,,00:58.541,https://www.racefacer.com/en/profile/rai ibtisam.ahmed
2,Ameer Hamza,31.12.2025,,,00:58.681,https://www.racefacer.com/en/profile/ameer.hamza.24
3,Hamza Pasha,31.12.2025,,,00:59.754,https://www.racefacer.com/en/profile/hamza.pasha.2
4,Bubble Trouble,22.09.2025,65,3.4,00:59.913,https://www.racefacer.com/en/profile/bubble.trouble.1
5,Kainat Malik,30.12.2025,65,3.4,01:00.085,https://www.racefacer.com/en/profile/kainat.malik
6,Datta Pawlay,22.09.2025,65,3.4,01:00.110,https://www.racefacer.com/en/profile/datta.pawlay
7,M haris Zubair khan,31.10.2025,65,3.4,01:00.202,https://www.racefacer.com/en/profile/m haris.zubair khan
8,Abuzar Altaf,28.09.2025,65,3.4,01:03.487,https://www.racefacer.com/en/profile/abuzar.altaf
9,Sameer Ahmed,28.09.2025,65,3.4,01:04.050,https://www.racefacer.com/en/profile/sameer.ahmed.42
10,Vohra 1,19.12.2025,65,3.4,01:04.213,https://www.racefacer.com/en/profile/vohra.1
11,Haris Rafique,13.12.2025,65,3.4,01:05.220,https://www.racefacer.com/en/profile/haris.rafique.2
12,Mi khar Mi khar,19.12.2025,65,3.4,01:05.392,https://www.racefacer.com/en/profile/mi khar.mi khar
13,Bilal Ahmed tarar,03.10.2025,65,3.4,01:09.872,https://www.racefacer.com/en/profile/bilal.ahmed tarar
14,Imran Ali,09.11.2025,65,3.4,01:11.278,https://www.racefacer.com/en/profile/imran.ali.45
15,Ali Raza,19.12.2025,65,3.4,01:16.318,https://www.racefacer.com/en/profile/mahesh.dalla.2
1,,,,,,
2,,,,,,
3,,,,,,
